code,system
66k..00,readv2
66k0.00,readv2
9No7.00,readv2
C370400,readv2
C370700,readv2
C370900,readv2
C370z00,readv2
1708961000006108,snomedct
1708971000006101,snomedct
1708981000006103,snomedct
1709341000006101,snomedct
1760711000006105,snomedct
1760721000006102,snomedct
1760731000006104,snomedct
1763641000006109,snomedct
1763651000006106,snomedct
1834221000006107,snomedct
1834231000006105,snomedct
1834241000006100,snomedct
1834251000006103,snomedct
1834261000006101,snomedct
1834271000006108,snomedct
1838061000006100,snomedct
1854661000006104,snomedct
1854691000006107,snomedct
1854771000006101,snomedct
1854781000006103,snomedct
1854791000006100,snomedct
1854801000006104,snomedct
1854811000006101,snomedct
1854831000006107,snomedct
1854841000006102,snomedct
1854851000006100,snomedct
1854861000006103,snomedct
1854871000006105,snomedct
1854881000006108,snomedct
1854901000006105,snomedct
1854911000006108,snomedct
1855391000006100,snomedct
190905008,snomedct
190909002,snomedct
426705001,snomedct
427022004,snomedct
515611000000104,snomedct
515631000000107,snomedct
526071000000104,snomedct
526091000000100,snomedct
698529000,snomedct
776981000000103,snomedct
81423003,snomedct
859041000000103,snomedct
86092005,snomedct
86555001,snomedct
130822,ukbiobank
130823,ukbiobank
C10N100,readv2
C370800,readv2
C370.00,readv2
C370000,readv2
C370100,readv2
C370111,readv2
C370200,readv2
C370y00,readv2
C370300,readv2
C370500,readv2
22131,ukbiobank
22151,ukbiobank
E84,icd10
E84,icd10
CA25,icd11